I 100 1000
E 79 21 4
E 79 38 0
E 79 49 2
E 79 52 5
E 79 58 3
E 79 63 9
E 79 66 6
E 79 68 8
E 79 73 0
E 79 75 1
E 79 91 1
E 79 96 3
E 80 8 3
E 80 11 5
E 80 22 3
E 80 27 9
E 80 28 2
E 80 50 7
E 81 7 8
E 81 11 2
E 81 12 4
E 81 21 7
E 81 29 5
E 81 38 8
E 81 55 6
E 81 60 8
E 81 87 6
E 81 88 7
E 81 93 8
E 82 3 5
E 82 9 7
E 82 10 7
E 82 13 7
E 82 23 4
E 82 35 2
E 82 39 6
E 82 52 0
E 82 80 3
E 82 84 6
E 82 85 8
E 82 86 9
E 82 89 6
E 82 93 0
E 83 1 8
E 83 4 1
E 83 8 0
E 83 26 8
E 83 29 9
E 83 32 6
E 83 66 2
E 83 72 1
E 84 0 6
E 84 2 5
E 84 14 8
E 84 23 5
E 84 72 5
E 84 82 2
E 84 95 9
E 84 98 3
E 85 8 1
E 85 9 6
E 85 26 3
E 85 34 0
E 85 41 1
E 85 49 0
E 85 61 4
E 85 83 1
E 85 91 0
E 85 92 3
E 85 94 7
E 86 0 6
E 86 3 9
E 86 9 6
E 86 23 0
E 86 34 7
E 86 56 5
E 86 64 3
E 86 65 6
E 86 71 4
E 86 72 0
E 87 7 9
E 87 9 5
E 87 17 5
E 87 25 0
E 87 28 4
E 87 37 6
E 87 56 1
E 87 66 1
E 87 82 1
E 87 95 9
E 87 97 7
E 88 2 3
E 88 14 1
E 88 25 9
E 88 27 4
E 88 39 8
E 88 40 0
E 88 43 2
E 88 70 6
E 88 86 7
E 88 95 5
E 89 2 7
E 89 11 0
E 89 23 4
E 89 41 1
E 89 51 9
E 89 91 6
E 89 96 2
E 90 17 6
E 90 20 8
E 90 36 0
E 90 45 3
E 90 47 5
E 90 48 7
E 90 65 9
E 90 72 5
E 90 76 9
E 90 83 8
E 90 84 2
E 90 92 3
E 90 94 9
E 91 6 6
E 91 13 5
E 91 19 6
E 91 31 6
E 91 32 1
E 91 50 6
E 91 63 6
E 91 65 9
E 91 69 9
E 91 70 7
E 91 78 4
E 91 96 2
E 91 97 3
E 91 98 5
E 92 18 5
E 92 27 7
E 92 31 2
E 92 47 2
E 92 48 3
E 92 96 3
E 93 1 4
E 93 22 4
E 93 24 0
E 93 25 9
E 93 32 1
E 93 38 8
E 93 52 1
E 93 56 3
E 93 61 9
E 93 72 1
E 93 75 0
E 93 77 8
E 93 78 8
E 93 81 2
E 93 82 4
E 93 83 2
E 93 91 1
E 94 3 2
E 94 10 5
E 94 28 9
E 94 49 5
E 94 67 1
E 94 74 5
E 94 91 0
E 94 99 8
E 95 2 0
E 95 3 3
E 95 9 9
E 95 13 5
E 95 30 0
E 95 40 3
E 95 48 7
E 95 54 0
E 95 63 0
E 95 66 0
E 95 69 4
E 95 86 1
E 96 10 2
E 96 13 1
E 96 32 8
E 96 34 8
E 96 37 2
E 96 42 5
E 96 61 4
E 96 62 6
E 96 72 3
E 96 77 8
E 96 82 4
E 97 13 3
E 97 20 9
E 97 41 7
E 97 54 5
E 97 57 4
E 97 69 1
E 97 72 0
E 97 76 7
E 98 16 1
E 98 22 4
E 98 51 6
E 98 54 5
E 98 66 8
E 98 70 1
E 98 72 3
E 98 82 3
E 99 14 5
E 99 16 6
E 99 26 2
E 99 31 6
E 99 37 1
E 99 43 3
E 99 54 9
E 99 60 8
E 99 71 8
E 99 72 8
E 99 78 7
E 99 80 5
T
