I 100 300
E 87 48 7
E 87 58 5
E 87 88 6
E 88 6 4
E 88 27 7
E 88 39 9
E 88 75 1
E 89 31 3
E 89 39 7
E 90 26 5
E 90 54 7
E 90 67 9
E 90 97 8
E 91 27 3
E 92 15 2
E 92 33 0
E 92 44 1
E 92 93 3
E 93 41 7
E 93 42 7
E 93 86 5
E 94 20 1
E 94 55 2
E 95 24 4
E 95 49 9
E 95 56 2
E 96 0 8
E 96 25 7
E 97 23 9
E 97 29 1
E 97 93 1
E 98 46 4
E 98 48 5
E 99 25 6
E 99 47 5
T
